wzb.hh.id,wzb.ind.id,vid,tid,enumerator,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
101264,101264x1,1,1,Arun,1,6,prob,25,50,45,50,45
101264,101264x1,1,1,Arun,2,4,amt,1400,1600,1500,1600,1500
101264,101264x1,1,1,Arun,3,2,amt,1600,1700,1600,1700,1600
101264,101264x1,1,1,Arun,1,5,prob,85,90,85,90,85
101264,101264x1,1,1,Arun,2,2,amt,320,340,320,340,320
wzb.hh.id,wzb.ind.id,vid,tid,enumerator,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
101264,101264x2,1,1,Arun,1,6,prob,40,25,20,25,20
101264,101264x2,1,1,Arun,2,4,amt,1800,1900,1800,1900,1800
101264,101264x2,1,1,Arun,3,2,amt,1100,1100,1000,1100,1000
101264,101264x2,1,1,Arun,1,2,amt,340,360,340,360,340
101264,101264x2,1,1,Arun,2,5,prob,20,20,15,20,15
wzb.hh.id,wzb.ind.id,vid,tid,enumerator,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
101264,101264x1,1,1,Arun,1,5,prob,90,90,85,90,85
101264,101264x1,1,1,Arun,2,2,amt,320,320,300,320,300
101264,101264x1,1,1,Arun,1,4,amt,1100,1100,1000,1100,1000
101264,101264x1,1,1,Arun,2,6,prob,90,85,80,85,80
101264,101264x1,1,1,Arun,3,2,amt,1500,1800,1700,1800,1700
