wzb.hh.id,wzb.ind.id,vid,tid,enumerator,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
101264,101264x2,1,1,Ananth,1,2,amt,400,360,340,360,340
101264,101264x2,1,1,Ananth,2,5,prob,100,55,50,55,50
101264,101264x2,1,1,Ananth,1,4,amt,1200,1500,1400,1500,1400
101264,101264x2,1,1,Ananth,2,2,amt,1600,1700,1600,1700,1600
101264,101264x2,1,1,Ananth,3,6,prob,100,1700,100,NA,100
wzb.hh.id,wzb.ind.id,vid,tid,enumerator,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
101264,101264x1,1,1,Ananth,1,5,prob,90,60,55,60,55
101264,101264x1,1,1,Ananth,2,2,amt,340,340,320,340,320
101264,101264x1,1,1,Ananth,1,2,amt,1700,1600,1500,1600,1500
101264,101264x1,1,1,Ananth,2,4,amt,1500,1500,1400,1500,1400
101264,101264x1,1,1,Ananth,3,6,prob,55,50,45,50,45
wzb.hh.id,wzb.ind.id,vid,tid,enumerator,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
101264,101264x1,1,1,Ananth,1,5,prob,60,55,50,55,50
101264,101264x1,1,1,Ananth,2,2,amt,300,300,280,300,280
101264,101264x1,1,1,Ananth,1,6,prob,85,85,80,85,80
101264,101264x1,1,1,Ananth,2,4,amt,1700,1600,1500,1600,1500
101264,101264x1,1,1,Ananth,3,2,amt,1900,1800,1700,1800,1700
wzb.hh.id,wzb.ind.id,vid,tid,enumerator,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
101264,101264x2,1,1,Ananth,1,2,amt,220,220,200,220,200
101264,101264x2,1,1,Ananth,2,5,prob,15,15,10,15,10
101264,101264x2,1,1,Ananth,1,2,amt,1100,1100,1000,1100,1000
101264,101264x2,1,1,Ananth,2,4,amt,1900,1900,1800,1900,1800
101264,101264x2,1,1,Ananth,3,6,prob,15,15,10,15,10
