wzb.hh.id,wzb.ind.id,vid,tid,enumerator,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
209016,209016x1,9,2,Bhushan,1,4,amt,1500,1600,1500,1600,1500
209016,209016x1,9,2,Bhushan,2,2,amt,1400,1700,1600,1700,1600
209016,209016x1,9,2,Bhushan,3,6,prob,80,55,50,55,50
209016,209016x1,9,2,Bhushan,1,2,amt,260,260,240,260,240
209016,209016x1,9,2,Bhushan,2,5,prob,55,55,50,55,50
wzb.hh.id,wzb.ind.id,vid,tid,enumerator,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
209016,209016x1,9,2,Bhushan,1,2,amt,1800,1700,1600,1700,1600
209016,209016x1,9,2,Bhushan,2,6,prob,45,45,40,45,40
209016,209016x1,9,2,Bhushan,3,4,amt,1200,1200,1100,1200,1100
209016,209016x1,9,2,Bhushan,1,2,amt,320,300,280,300,280
209016,209016x1,9,2,Bhushan,2,5,prob,70,55,50,55,50
