wzb.hh.id,wzb.ind.id,vid,tid,enumerator,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
102066,102066x1,2,1,Arun,1,10,prob,55,55,50,55,50
102066,102066x1,2,1,Arun,2,6,prob,45,45,40,45,40
102066,102066x1,2,1,Arun,3,9,prob,45,45,40,45,40
102066,102066x1,2,1,Arun,4,8,prob,25,25,20,25,20
102066,102066x1,2,1,Arun,5,7,prob,35,35,30,35,30
102066,102066x1,2,1,Arun,6,5,prob,95,95,90,95,90
102066,102066x1,2,1,Arun,7,4,amt,2000,2000,1900,2000,1900
102066,102066x1,2,1,Arun,8,3,amt,500,300,200,300,200
102066,102066x1,2,1,Arun,9,2,amt,1600,1500,1400,1500,1400
102066,102066x1,2,1,Arun,10,1,amt,200,200,100,200,100
102066,102066x1,2,1,Arun,1,4,amt,320,320,300,320,300
102066,102066x1,2,1,Arun,2,3,amt,60,60,40,60,40
102066,102066x1,2,1,Arun,3,2,amt,320,300,280,300,280
102066,102066x1,2,1,Arun,4,1,amt,180,120,100,120,100
102066,102066x1,2,1,Arun,5,5,prob,70,75,70,75,70
102066,102066x1,2,1,Arun,6,10,prob,10,10,5,10,5
102066,102066x1,2,1,Arun,7,6,prob,90,60,55,60,55
102066,102066x1,2,1,Arun,8,8,prob,90,75,70,75,70
102066,102066x1,2,1,Arun,9,9,prob,65,50,45,50,45
102066,102066x1,2,1,Arun,10,7,prob,5,35,30,35,30
