desk,session,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
,,1,2,amt,200,200,100,200,100
desk,session,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
,,1,5,prob,70,75,70,75,70
desk,session,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
,,1,5,prob,65,75,70,75,70
desk,session,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
,,1,2,amt,200,200,100,200,100
desk,session,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
,,1,5,prob,40,55,50,55,50
desk,session,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
,,1,5,prob,95,65,60,65,60
desk,session,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
,,1,2,amt,200,200,100,200,100
desk,session,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
,,1,5,prob,55,65,60,65,60
desk,session,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
,,1,5,prob,75,60,55,60,55
desk,session,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
,,1,2,amt,200,200,100,200,100
desk,session,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
,,1,5,prob,25,20,15,20,15
desk,session,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
,,1,5,prob,50,40,35,40,35
desk,session,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
,,1,2,amt,100,200,100,200,100
desk,session,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
,,1,5,prob,30,30,25,30,25
desk,session,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
,,1,5,prob,35,50,45,50,45
desk,session,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
,,1,2,amt,0,0,100,0,NA
desk,session,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
,,1,5,prob,10,25,20,25,20
desk,session,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
,,1,5,prob,5,5,0,5,0
desk,session,qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
,,1,2,amt,200,0,200,NA,200
