qid,tid,vid,enumid,wzb.hh.id,interview_wzb.ind.id,treatment,pL,pR,nL,nR,tL,tR,aL,aR,timing,start_n2,date,time,version
1,2,14,0,214120,214120x1,risk,7.5,6,88,12,3,6,660.0,72,1.0,12,30/06/15,11:28,2.3
2,2,14,0,214120,214120x1,risk,1,6,98,2,3,6,98,12,0.0,1,30/06/15,11:28,2.3
3,2,14,0,214120,214120x1,risk,6,3,44,56,3,6,264,168,0.0,55,30/06/15,11:28,2.3
4,2,14,0,214120,214120x1,risk,3,1,98,2,3,6,294,2,0.0,2,30/06/15,11:28,2.3
5,2,14,0,214120,214120x1,risk,1,2,20,80,3,6,20,160,0.0,80,30/06/15,11:28,2.3
6,2,14,0,214120,214120x1,risk,4,1.5,26,74,3,6,104,111.0,1.0,73,30/06/15,11:28,2.3
7,2,14,0,214120,214120x1,risk,7,8.5,80,20,3,6,560,170.0,0.0,19,30/06/15,11:28,2.3
8,2,14,0,214120,214120x1,risk,4,9.5,46,54,3,6,184,513.0,2.0,54,30/06/15,11:28,2.3
9,2,14,0,214120,214120x1,risk,9,8,92,8,3,6,828,64,0.0,8,30/06/15,11:28,2.3
10,2,14,0,214120,214120x1,risk,0.5,3,82,18,3,6,41.0,54,0.0,17,30/06/15,11:28,2.3
11,2,14,0,214120,214120x1,risk,2,8,20,80,3,6,40,640,0.0,79,30/06/15,11:28,2.3
12,2,14,0,214120,214120x1,risk,3.5,8,96,4,3,6,336.0,32,0.0,3,30/06/15,11:28,2.3
13,2,14,0,214120,214120x1,risk,5,1,100,0,3,6,500,0,0.0,0,30/06/15,11:28,2.3
14,2,14,0,214120,214120x1,risk,6,8,68,32,3,6,408,256,0.0,32,30/06/15,11:28,2.3
15,2,14,0,214120,214120x1,risk,0.5,2,68,32,3,6,34.0,64,0.0,31,30/06/15,11:28,2.3
16,2,14,0,214120,214120x1,risk,9,8.5,68,32,0,3,612,272.0,0.0,31,30/06/15,11:28,2.3
17,2,14,0,214120,214120x1,risk,9,5,10,90,0,3,90,450,0.0,90,30/06/15,11:28,2.3
18,2,14,0,214120,214120x1,risk,6.5,8,34,66,0,3,221.0,528,1.0,66,30/06/15,11:28,2.3
19,2,14,0,214120,214120x1,risk,2,5,76,24,0,3,152,120,1.0,23,30/06/15,11:28,2.3
20,2,14,0,214120,214120x1,risk,1,9,18,82,0,3,18,738,1.0,82,30/06/15,11:28,2.3
21,2,14,0,214120,214120x1,risk,6,1,84,16,0,3,504,16,0.0,15,30/06/15,11:28,2.3
22,2,14,0,214120,214120x1,risk,3,0.5,66,34,0,3,198,17.0,0.0,34,30/06/15,11:28,2.3
23,2,14,0,214120,214120x1,risk,4,5.5,68,32,0,3,272,176.0,0.0,31,30/06/15,11:28,2.3
24,2,14,0,214120,214120x1,risk,1.5,2,96,4,0,3,144.0,8,0.0,4,30/06/15,11:28,2.3
25,2,14,0,214120,214120x1,risk,3,2,42,58,0,3,126,116,0.0,57,30/06/15,11:28,2.3
26,2,14,0,214120,214120x1,risk,6,2,86,14,0,3,516,28,0.0,13,30/06/15,11:28,2.3
27,2,14,0,214120,214120x1,risk,0.5,1,34,66,0,3,17.0,66,0.0,66,30/06/15,11:28,2.3
28,2,14,0,214120,214120x1,risk,1,5,74,26,0,3,74,130,0.0,26,30/06/15,11:28,2.3
29,2,14,0,214120,214120x1,risk,2,8.5,68,32,0,3,136,272.0,0.0,31,30/06/15,11:28,2.3
30,2,14,0,214120,214120x1,risk,7,8,48,52,0,3,336,416,0.0,51,30/06/15,11:28,2.3
