qid,tid,vid,enumid,wzb.hh.id,interview_wzb.ind.id,treatment,pL,pR,nL,nR,tL,tR,aL,aR,timing,start_n2,date,time,version
1,1,1,0,101134,101134x2,time,4,4.5,90,10,0,3,360,45.0,1.0,10,23/06/15,23:50,2.2
2,1,1,0,101134,101134x2,time,5,5.5,86,14,0,3,430,77.0,0.0,14,23/06/15,23:50,2.2
3,1,1,0,101134,101134x2,time,2.5,6,64,36,0,3,160.0,216,0.0,36,23/06/15,23:50,2.2
4,1,1,0,101134,101134x2,time,1,2,16,84,0,3,16,168,0.0,84,23/06/15,23:50,2.2
5,1,1,0,101134,101134x2,time,5.5,8,90,10,0,3,495.0,80,0.0,10,23/06/15,23:50,2.2
6,1,1,0,101134,101134x2,time,5,8,16,84,0,3,80,672,0.0,84,23/06/15,23:50,2.2
7,1,1,0,101134,101134x2,time,7,7.5,90,10,0,3,630,75.0,0.0,9,23/06/15,23:50,2.2
8,1,1,0,101134,101134x2,time,5,9,68,32,0,3,340,288,0.0,32,23/06/15,23:50,2.2
9,1,1,0,101134,101134x2,time,7,8,22,78,0,3,154,624,0.0,77,23/06/15,23:50,2.2
10,1,1,0,101134,101134x2,time,2.5,7,46,54,0,3,115.0,378,0.0,54,23/06/15,23:50,2.2
11,1,1,0,101134,101134x2,time,1,1.5,24,76,0,3,24,114.0,0.0,75,23/06/15,23:50,2.2
12,1,1,0,101134,101134x2,time,1,8,46,54,0,3,46,432,0.0,54,23/06/15,23:50,2.2
13,1,1,0,101134,101134x2,time,1,7.5,16,84,0,3,16,630.0,0.0,84,23/06/15,23:50,2.2
14,1,1,0,101134,101134x2,time,3.5,6,52,48,0,3,182.0,288,0.0,48,23/06/15,23:50,2.2
15,1,1,0,101134,101134x2,time,2.5,3,8,92,0,3,20.0,276,0.0,91,23/06/15,23:50,2.2
16,1,1,0,101134,101134x2,time,1,4.5,2,98,0,3,2,441.0,0.0,98,23/06/15,23:50,2.2
17,1,1,0,101134,101134x2,time,4,8.5,88,12,0,3,352,102.0,0.0,12,23/06/15,23:50,2.2
18,1,1,0,101134,101134x2,time,3,3.5,62,38,0,3,186,133.0,0.0,37,23/06/15,23:50,2.2
19,1,1,0,101134,101134x2,time,2.5,8,48,52,0,3,120.0,416,0.0,51,23/06/15,23:50,2.2
20,1,1,0,101134,101134x2,time,2,4,54,46,0,3,108,184,0.0,45,23/06/15,23:50,2.2
21,1,1,0,101134,101134x2,time,2.5,7,70,30,3,6,175.0,210,0.0,30,23/06/15,23:50,2.2
22,1,1,0,101134,101134x2,time,5,9,92,8,3,6,460,72,0.0,7,23/06/15,23:50,2.2
23,1,1,0,101134,101134x2,time,5.5,8,2,98,3,6,11.0,784,0.0,98,23/06/15,23:50,2.2
24,1,1,0,101134,101134x2,time,7,8,26,74,3,6,182,592,0.0,73,23/06/15,23:50,2.2
25,1,1,0,101134,101134x2,time,2.5,8,8,92,3,6,20.0,736,0.0,91,23/06/15,23:50,2.2
26,1,1,0,101134,101134x2,time,5,5.5,54,46,3,6,270,253.0,0.0,46,23/06/15,23:50,2.2
27,1,1,0,101134,101134x2,time,2.5,6,24,76,3,6,60.0,456,0.0,76,23/06/15,23:50,2.2
28,1,1,0,101134,101134x2,time,1,8,82,18,3,6,82,144,0.0,17,23/06/15,23:50,2.2
29,1,1,0,101134,101134x2,time,1,2,56,44,3,6,56,88,0.0,44,23/06/15,23:50,2.2
30,1,1,0,101134,101134x2,time,1,1.5,30,70,3,6,30,105.0,0.0,70,23/06/15,23:50,2.2
31,1,1,0,101134,101134x2,time,7,7.5,64,36,3,6,448,270.0,0.0,35,23/06/15,23:50,2.2
32,1,1,0,101134,101134x2,time,5,8,86,14,3,6,430,112,0.0,13,23/06/15,23:50,2.2
33,1,1,0,101134,101134x2,time,3.5,6,96,4,3,6,336.0,24,0.0,4,23/06/15,23:50,2.2
34,1,1,0,101134,101134x2,time,4,4.5,32,68,3,6,128,306.0,0.0,68,23/06/15,23:50,2.2
35,1,1,0,101134,101134x2,time,4,8.5,78,22,3,6,312,187.0,0.0,21,23/06/15,23:50,2.2
36,1,1,0,101134,101134x2,time,2,4,54,46,3,6,108,184,0.0,46,23/06/15,23:50,2.2
37,1,1,0,101134,101134x2,time,1,4.5,12,88,3,6,12,396.0,0.0,88,23/06/15,23:50,2.2
38,1,1,0,101134,101134x2,time,1,7.5,38,62,3,6,38,465.0,0.0,62,23/06/15,23:50,2.2
39,1,1,0,101134,101134x2,time,2.5,3,20,80,3,6,50.0,240,0.0,80,23/06/15,23:50,2.2
40,1,1,0,101134,101134x2,time,3,3.5,8,92,3,6,24,322.0,0.0,92,23/06/15,23:50,2.2
