qid,tid,vid,enumid,wzb.hh.id,interview_wzb.ind.id,treatment,pL,pR,nL,nR,tL,tR,aL,aR,timing,start_n2,date,time,version
1,1,1,0,101134,101134x2,risk,5,2,20,80,0,3,100,160,1.0,80,23/06/15,23:50,2.2
2,1,1,0,101134,101134x2,risk,3,1,28,72,0,3,84,72,0.0,72,23/06/15,23:50,2.2
3,1,1,0,101134,101134x2,risk,9,0.5,98,2,0,3,882,1.0,0.0,1,23/06/15,23:50,2.2
4,1,1,0,101134,101134x2,risk,8.5,6,42,58,0,3,357.0,348,0.0,58,23/06/15,23:50,2.2
5,1,1,0,101134,101134x2,risk,3,9.5,12,88,0,3,36,836.0,0.0,87,23/06/15,23:50,2.2
6,1,1,0,101134,101134x2,risk,7,9,28,72,0,3,196,648,0.0,71,23/06/15,23:50,2.2
7,1,1,0,101134,101134x2,risk,7,5.5,36,64,0,3,252,352.0,0.0,63,23/06/15,23:50,2.2
8,1,1,0,101134,101134x2,risk,1,4,90,10,0,3,90,40,0.0,9,23/06/15,23:50,2.2
9,1,1,0,101134,101134x2,risk,6,9,14,86,0,3,84,774,0.0,86,23/06/15,23:50,2.2
10,1,1,0,101134,101134x2,risk,9,6.5,80,20,0,3,720,130.0,0.0,19,23/06/15,23:50,2.2
11,1,1,0,101134,101134x2,risk,4,5,66,34,0,3,264,170,0.0,33,23/06/15,23:50,2.2
12,1,1,0,101134,101134x2,risk,6,8.5,12,88,0,3,72,748.0,0.0,88,23/06/15,23:50,2.2
13,1,1,0,101134,101134x2,risk,4.5,5,10,90,0,3,45.0,450,0.0,90,23/06/15,23:50,2.2
14,1,1,0,101134,101134x2,risk,4,9,86,14,0,3,344,126,0.0,13,23/06/15,23:50,2.2
15,1,1,0,101134,101134x2,risk,8,8.5,66,34,0,3,528,289.0,0.0,33,23/06/15,23:50,2.2
16,1,1,0,101134,101134x2,risk,2.5,2,6,94,3,6,15.0,188,0.0,94,23/06/15,23:50,2.2
17,1,1,0,101134,101134x2,risk,8,9,66,34,3,6,528,306,0.0,34,23/06/15,23:50,2.2
18,1,1,0,101134,101134x2,risk,1.5,1,74,26,3,6,111.0,26,0.0,26,23/06/15,23:50,2.2
19,1,1,0,101134,101134x2,risk,3.5,7,56,44,3,6,196.0,308,0.0,43,23/06/15,23:50,2.2
20,1,1,0,101134,101134x2,risk,7,8,46,54,3,6,322,432,0.0,53,23/06/15,23:50,2.2
21,1,1,0,101134,101134x2,risk,9.5,8,36,64,3,6,342.0,512,0.0,64,23/06/15,23:50,2.2
22,1,1,0,101134,101134x2,risk,5.5,5,42,58,3,6,231.0,290,0.0,57,23/06/15,23:50,2.2
23,1,1,0,101134,101134x2,risk,0.5,4,82,18,3,6,41.0,72,0.0,17,23/06/15,23:50,2.2
24,1,1,0,101134,101134x2,risk,6,7,82,18,3,6,492,126,0.0,17,23/06/15,23:50,2.2
25,1,1,0,101134,101134x2,risk,9.5,7,82,18,3,6,779.0,126,0.0,18,23/06/15,23:50,2.2
26,1,1,0,101134,101134x2,risk,7.5,9,88,12,3,6,660.0,108,0.0,12,23/06/15,23:50,2.2
27,1,1,0,101134,101134x2,risk,3,5,96,4,3,6,288,20,0.0,4,23/06/15,23:50,2.2
28,1,1,0,101134,101134x2,risk,5,1.5,56,44,3,6,280,66.0,0.0,44,23/06/15,23:50,2.2
29,1,1,0,101134,101134x2,risk,7.5,7,12,88,3,6,90.0,616,0.0,88,23/06/15,23:50,2.2
30,1,1,0,101134,101134x2,risk,4,1.5,82,18,3,6,328,27.0,0.0,17,23/06/15,23:50,2.2
