qid,tid,vid,enumid,wzb.hh.id,interview_wzb.ind.id,treatment,pL,pR,nL,nR,tL,tR,aL,aR,timing,start_n2,date,time,version
1,2,9,0,209015,209015x1,risk,8.5,7,38,62,0,3,323.0,434,2.0,62,10/06/15,10:02,2.1
2,2,9,0,209015,209015x1,risk,5,2,52,48,0,3,260,96,0.0,48,10/06/15,10:02,2.1
3,2,9,0,209015,209015x1,risk,5.5,8,6,94,0,3,33.0,752,0.0,93,10/06/15,10:02,2.1
4,2,9,0,209015,209015x1,risk,8,9,84,16,0,3,672,144,0.0,15,10/06/15,10:02,2.1
5,2,9,0,209015,209015x1,risk,4,9,94,6,0,3,376,54,0.0,6,10/06/15,10:02,2.1
6,2,9,0,209015,209015x1,risk,1,3,30,70,0,3,30,210,0.0,69,10/06/15,10:02,2.1
7,2,9,0,209015,209015x1,risk,9,8,38,62,0,3,342,496,0.0,61,10/06/15,10:02,2.1
8,2,9,0,209015,209015x1,risk,5,3,6,94,0,3,30,282,0.0,93,10/06/15,10:02,2.1
9,2,9,0,209015,209015x1,risk,3,1,32,68,0,3,96,68,0.0,67,10/06/15,10:02,2.1
10,2,9,0,209015,209015x1,risk,8,6,86,14,0,3,688,84,0.0,14,10/06/15,10:02,2.1
11,2,9,0,209015,209015x1,risk,8.5,8,96,4,0,3,816.0,32,0.0,4,10/06/15,10:02,2.1
12,2,9,0,209015,209015x1,risk,8,7,2,98,0,3,16,686,0.0,98,10/06/15,10:02,2.1
13,2,9,0,209015,209015x1,risk,1,2.5,50,50,0,3,50,125.0,0.0,50,10/06/15,10:02,2.1
14,2,9,0,209015,209015x1,risk,8,5,86,14,0,3,688,70,0.0,13,10/06/15,10:02,2.1
15,2,9,0,209015,209015x1,risk,5,5.5,18,82,0,3,90,451.0,0.0,82,10/06/15,10:02,2.1
16,2,9,0,209015,209015x1,risk,4.5,6,74,26,3,6,333.0,156,0.0,25,10/06/15,10:02,2.1
17,2,9,0,209015,209015x1,risk,3,4,52,48,3,6,156,192,0.0,48,10/06/15,10:02,2.1
18,2,9,0,209015,209015x1,risk,1,6,98,2,3,6,98,12,0.0,2,10/06/15,10:02,2.1
19,2,9,0,209015,209015x1,risk,1.5,1,82,18,3,6,123.0,18,0.0,18,10/06/15,10:02,2.1
20,2,9,0,209015,209015x1,risk,2,0.5,26,74,3,6,52,37.0,0.0,73,10/06/15,10:02,2.1
21,2,9,0,209015,209015x1,risk,3.5,1,96,4,3,6,336.0,4,0.0,3,10/06/15,10:02,2.1
22,2,9,0,209015,209015x1,risk,6,3,70,30,3,6,420,90,0.0,29,10/06/15,10:02,2.1
23,2,9,0,209015,209015x1,risk,9,8.5,84,16,3,6,756,136.0,0.0,16,10/06/15,10:02,2.1
24,2,9,0,209015,209015x1,risk,6,2.5,64,36,3,6,384,90.0,0.0,36,10/06/15,10:02,2.1
25,2,9,0,209015,209015x1,risk,4,8,82,18,3,6,328,144,0.0,17,10/06/15,10:02,2.1
26,2,9,0,209015,209015x1,risk,0.5,5,14,86,3,6,7.0,430,0.0,85,10/06/15,10:02,2.1
27,2,9,0,209015,209015x1,risk,7,8.5,72,28,3,6,504,238.0,0.0,28,10/06/15,10:02,2.1
28,2,9,0,209015,209015x1,risk,1,9.5,54,46,3,6,54,437.0,0.0,45,10/06/15,10:02,2.1
29,2,9,0,209015,209015x1,risk,9,5.5,30,70,3,6,270,385.0,0.0,70,10/06/15,10:02,2.1
30,2,9,0,209015,209015x1,risk,3.5,6,0,100,3,6,0.0,600,0.0,99,10/06/15,10:02,2.1
