qid,tid,vid,enumid,wzb.hh.id,interview_wzb.ind.id,treatment,pL,pR,nL,nR,tL,tR,aL,aR,timing,start_n2,date,time,version
1,1,4,3,104073,104073x3,risk,8,7,26,74,0,3,208,518,3.0,73,10/06/15,14:37,2.1
2,1,4,3,104073,104073x3,risk,4,1,38,62,0,3,152,62,1.0,61,10/06/15,14:37,2.1
3,1,4,3,104073,104073x3,risk,8.5,4,14,86,0,3,119.0,344,1.0,85,10/06/15,14:37,2.1
4,1,4,3,104073,104073x3,risk,1.5,7,84,16,0,3,126.0,112,1.0,15,10/06/15,14:37,2.1
5,1,4,3,104073,104073x3,risk,9,6,10,90,0,3,90,540,0.0,89,10/06/15,14:37,2.1
6,1,4,3,104073,104073x3,risk,3,0.5,70,30,0,3,210,15.0,0.0,30,10/06/15,14:37,2.1
7,1,4,3,104073,104073x3,risk,3.5,7,68,32,0,3,238.0,224,2.0,31,10/06/15,14:37,2.1
8,1,4,3,104073,104073x3,risk,8.5,7,34,66,0,3,289.0,462,0.0,66,10/06/15,14:37,2.1
9,1,4,3,104073,104073x3,risk,1,4,64,36,0,3,64,144,0.0,35,10/06/15,14:37,2.1
10,1,4,3,104073,104073x3,risk,9,5.5,60,40,0,3,540,220.0,0.0,40,10/06/15,14:37,2.1
11,1,4,3,104073,104073x3,risk,8.5,1,2,98,0,3,17.0,98,0.0,98,10/06/15,14:37,2.1
12,1,4,3,104073,104073x3,risk,1,3,20,80,0,3,20,240,0.0,80,10/06/15,14:37,2.1
13,1,4,3,104073,104073x3,risk,9,7,94,6,0,3,846,42,0.0,6,10/06/15,14:37,2.1
14,1,4,3,104073,104073x3,risk,2,4,80,20,0,3,160,80,0.0,19,10/06/15,14:37,2.1
15,1,4,3,104073,104073x3,risk,1,9,20,80,0,3,20,720,1.0,79,10/06/15,14:37,2.1
16,1,4,3,104073,104073x3,risk,8,6,54,46,3,6,432,276,0.0,46,10/06/15,14:37,2.1
17,1,4,3,104073,104073x3,risk,3,6,76,24,3,6,228,144,0.0,24,10/06/15,14:37,2.1
18,1,4,3,104073,104073x3,risk,5,8,16,84,3,6,80,672,0.0,84,10/06/15,14:37,2.1
19,1,4,3,104073,104073x3,risk,8,4.5,12,88,3,6,96,396.0,1.0,87,10/06/15,14:37,2.1
20,1,4,3,104073,104073x3,risk,4.5,6,58,42,3,6,261.0,252,0.0,41,10/06/15,14:37,2.1
21,1,4,3,104073,104073x3,risk,8,9,56,44,3,6,448,396,0.0,43,10/06/15,14:37,2.1
22,1,4,3,104073,104073x3,risk,3,1.5,40,60,3,6,120,90.0,0.0,60,10/06/15,14:37,2.1
23,1,4,3,104073,104073x3,risk,8,5.5,0,100,3,6,0,550.0,0.0,99,10/06/15,14:37,2.1
24,1,4,3,104073,104073x3,risk,1.5,3,54,46,3,6,81.0,138,0.0,46,10/06/15,14:37,2.1
25,1,4,3,104073,104073x3,risk,6,2.5,54,46,3,6,324,115.0,0.0,45,10/06/15,14:37,2.1
26,1,4,3,104073,104073x3,risk,2,8.5,20,80,3,6,40,680.0,0.0,80,10/06/15,14:37,2.1
27,1,4,3,104073,104073x3,risk,6,6.5,38,62,3,6,228,403.0,0.0,61,10/06/15,14:37,2.1
28,1,4,3,104073,104073x3,risk,0.5,8,96,4,3,6,48.0,32,0.0,4,10/06/15,14:37,2.1
29,1,4,3,104073,104073x3,risk,3.5,1,42,58,3,6,147.0,58,0.0,58,10/06/15,14:37,2.1
30,1,4,3,104073,104073x3,risk,2,2.5,72,28,3,6,144,70.0,0.0,28,10/06/15,14:37,2.1
