qid,tid,vid,enumid,wzb.hh.id,interview_wzb.ind.id,treatment,pL,pR,nL,nR,tL,tR,aL,aR,timing,start_n2,date,time,version
1,2,9,0,209015,209015x1,time,3,3.5,88,12,0,3,264,42.0,1.0,11,10/06/15,10:02,2.1
2,2,9,0,209015,209015x1,time,4.5,9,42,58,0,3,189.0,522,0.0,57,10/06/15,10:02,2.1
3,2,9,0,209015,209015x1,time,7.5,8,32,68,0,3,240.0,544,0.0,67,10/06/15,10:02,2.1
4,2,9,0,209015,209015x1,time,3,5.5,8,92,0,3,24,506.0,0.0,91,10/06/15,10:02,2.1
5,2,9,0,209015,209015x1,time,1.5,7,76,24,0,3,114.0,168,0.0,24,10/06/15,10:02,2.1
6,2,9,0,209015,209015x1,time,6,7,96,4,0,3,576,28,0.0,4,10/06/15,10:02,2.1
7,2,9,0,209015,209015x1,time,2,3.5,26,74,0,3,52,259.0,0.0,73,10/06/15,10:02,2.1
8,2,9,0,209015,209015x1,time,3,5,22,78,0,3,66,390,0.0,77,10/06/15,10:02,2.1
9,2,9,0,209015,209015x1,time,1,5,58,42,0,3,58,210,0.0,41,10/06/15,10:02,2.1
10,2,9,0,209015,209015x1,time,5,6,14,86,0,3,70,516,0.0,86,10/06/15,10:02,2.1
11,2,9,0,209015,209015x1,time,2,5,12,88,0,3,24,440,0.0,87,10/06/15,10:02,2.1
12,2,9,0,209015,209015x1,time,1,4,54,46,0,3,54,184,0.0,45,10/06/15,10:02,2.1
13,2,9,0,209015,209015x1,time,7,9.5,74,26,0,3,518,247.0,0.0,25,10/06/15,10:02,2.1
14,2,9,0,209015,209015x1,time,3,7.5,28,72,0,3,84,540.0,0.0,72,10/06/15,10:02,2.1
15,2,9,0,209015,209015x1,time,3,9,44,56,0,3,132,504,0.0,56,10/06/15,10:02,2.1
16,2,9,0,209015,209015x1,time,0.5,1,98,2,0,3,49.0,2,0.0,2,10/06/15,10:02,2.1
17,2,9,0,209015,209015x1,time,6,8,96,4,0,3,576,32,0.0,3,10/06/15,10:02,2.1
18,2,9,0,209015,209015x1,time,5,6.5,88,12,0,3,440,78.0,0.0,12,10/06/15,10:02,2.1
19,2,9,0,209015,209015x1,time,5,5.5,16,84,0,3,80,462.0,0.0,83,10/06/15,10:02,2.1
20,2,9,0,209015,209015x1,time,5.5,9,58,42,0,3,319.0,378,0.0,42,10/06/15,10:02,2.1
21,2,9,0,209015,209015x1,time,5,5.5,34,66,3,6,170,363.0,0.0,65,10/06/15,10:02,2.1
22,2,9,0,209015,209015x1,time,1,5,90,10,3,6,90,50,0.0,9,10/06/15,10:02,2.1
23,2,9,0,209015,209015x1,time,1.5,7,66,34,3,6,99.0,238,0.0,34,10/06/15,10:02,2.1
24,2,9,0,209015,209015x1,time,5,6,44,56,3,6,220,336,0.0,56,10/06/15,10:02,2.1
25,2,9,0,209015,209015x1,time,0.5,1,54,46,3,6,27.0,46,0.0,46,10/06/15,10:02,2.1
26,2,9,0,209015,209015x1,time,3,5.5,52,48,3,6,156,264.0,0.0,47,10/06/15,10:02,2.1
27,2,9,0,209015,209015x1,time,7.5,8,98,2,3,6,735.0,16,0.0,2,10/06/15,10:02,2.1
28,2,9,0,209015,209015x1,time,1,4,10,90,3,6,10,360,0.0,89,10/06/15,10:02,2.1
29,2,9,0,209015,209015x1,time,3,7.5,6,94,3,6,18,705.0,0.0,94,10/06/15,10:02,2.1
30,2,9,0,209015,209015x1,time,2,5,92,8,3,6,184,40,0.0,7,10/06/15,10:02,2.1
31,2,9,0,209015,209015x1,time,3,3.5,28,72,3,6,84,252.0,0.0,71,10/06/15,10:02,2.1
32,2,9,0,209015,209015x1,time,5,6.5,38,62,3,6,190,403.0,0.0,62,10/06/15,10:02,2.1
33,2,9,0,209015,209015x1,time,3,9,44,56,3,6,132,504,0.0,56,10/06/15,10:02,2.1
34,2,9,0,209015,209015x1,time,4.5,9,4,96,3,6,18.0,864,0.0,95,10/06/15,10:02,2.1
35,2,9,0,209015,209015x1,time,5.5,9,10,90,3,6,55.0,810,0.0,89,10/06/15,10:02,2.1
36,2,9,0,209015,209015x1,time,6,7,92,8,3,6,552,56,0.0,8,10/06/15,10:02,2.1
37,2,9,0,209015,209015x1,time,3,5,22,78,3,6,66,390,0.0,77,10/06/15,10:02,2.1
38,2,9,0,209015,209015x1,time,2,3.5,40,60,3,6,80,210.0,0.0,59,10/06/15,10:02,2.1
39,2,9,0,209015,209015x1,time,6,8,78,22,3,6,468,176,0.0,21,10/06/15,10:02,2.1
40,2,9,0,209015,209015x1,time,7,9.5,34,66,3,6,238,627.0,0.0,66,10/06/15,10:02,2.1
