qid,tid,vid,enumid,wzb.hh.id,interview_wzb.ind.id,treatment,pL,pR,nL,nR,tL,tR,aL,aR,timing,start_n2,date,time,version
1,2,9,6,209143,209143x1,risk,7,0.5,46,54,3,6,322,27.0,3.0,54,10/06/15,14:33,2.1
2,2,9,6,209143,209143x1,risk,8,7.5,96,4,3,6,768,30.0,0.0,4,10/06/15,14:33,2.1
3,2,9,6,209143,209143x1,risk,7,8.5,96,4,3,6,672,34.0,1.0,4,10/06/15,14:33,2.1
4,2,9,6,209143,209143x1,risk,5,9,52,48,3,6,260,432,0.0,48,10/06/15,14:33,2.1
5,2,9,6,209143,209143x1,risk,4,6,36,64,3,6,144,384,0.0,64,10/06/15,14:33,2.1
6,2,9,6,209143,209143x1,risk,7,6,14,86,3,6,98,516,0.0,86,10/06/15,14:33,2.1
7,2,9,6,209143,209143x1,risk,2,0.5,2,98,3,6,4,49.0,1.0,98,10/06/15,14:33,2.1
8,2,9,6,209143,209143x1,risk,4.5,2,90,10,3,6,405.0,20,0.0,9,10/06/15,14:33,2.1
9,2,9,6,209143,209143x1,risk,5,8,46,54,3,6,230,432,0.0,53,10/06/15,14:33,2.1
10,2,9,6,209143,209143x1,risk,4,2,34,66,3,6,136,132,0.0,65,10/06/15,14:33,2.1
11,2,9,6,209143,209143x1,risk,1.5,1,90,10,3,6,135.0,10,0.0,9,10/06/15,14:33,2.1
12,2,9,6,209143,209143x1,risk,0.5,4,12,88,3,6,6.0,352,0.0,87,10/06/15,14:33,2.1
13,2,9,6,209143,209143x1,risk,1,0.5,24,76,3,6,24,38.0,0.0,75,10/06/15,14:33,2.1
14,2,9,6,209143,209143x1,risk,9.5,5,32,68,3,6,304.0,340,0.0,68,10/06/15,14:33,2.1
15,2,9,6,209143,209143x1,risk,7,8,68,32,3,6,476,256,0.0,31,10/06/15,14:33,2.1
16,2,9,6,209143,209143x1,risk,2,6,72,28,0,3,144,168,0.0,27,10/06/15,14:33,2.1
17,2,9,6,209143,209143x1,risk,5.5,6,70,30,0,3,385.0,180,0.0,30,10/06/15,14:33,2.1
18,2,9,6,209143,209143x1,risk,5,3,42,58,0,3,210,174,0.0,57,10/06/15,14:33,2.1
19,2,9,6,209143,209143x1,risk,7,4,44,56,0,3,308,224,0.0,56,10/06/15,14:33,2.1
20,2,9,6,209143,209143x1,risk,7.5,9,0,100,0,3,0.0,900,0.0,99,10/06/15,14:33,2.1
21,2,9,6,209143,209143x1,risk,0.5,2,62,38,0,3,31.0,76,0.0,38,10/06/15,14:33,2.1
22,2,9,6,209143,209143x1,risk,0.5,5,60,40,0,3,30.0,200,0.0,39,10/06/15,14:33,2.1
23,2,9,6,209143,209143x1,risk,8,9.5,4,96,0,3,32,912.0,0.0,95,10/06/15,14:33,2.1
24,2,9,6,209143,209143x1,risk,6.5,9,42,58,0,3,273.0,522,0.0,58,10/06/15,14:33,2.1
25,2,9,6,209143,209143x1,risk,9,8,34,66,0,3,306,528,0.0,66,10/06/15,14:33,2.1
26,2,9,6,209143,209143x1,risk,3,2,70,30,0,3,210,60,0.0,29,10/06/15,14:33,2.1
27,2,9,6,209143,209143x1,risk,2,3,38,62,0,3,76,186,0.0,61,10/06/15,14:33,2.1
28,2,9,6,209143,209143x1,risk,4,1,24,76,0,3,96,76,0.0,76,10/06/15,14:33,2.1
29,2,9,6,209143,209143x1,risk,4,3,92,8,0,3,368,24,0.0,8,10/06/15,14:33,2.1
30,2,9,6,209143,209143x1,risk,3,0.5,76,24,0,3,228,12.0,0.0,24,10/06/15,14:33,2.1
